Date,Platform,Campaign_Name,Impressions,Clicks,Conversions,Spend_INR,Revenue_INR
8/1/2025,Facebook,Summer Sale,12000,480,36,4500,18000
8/2/2025,Instagram,Brand Awareness,15000,300,20,4000,12000
8/3/2025,Facebook,Product Launch,18000,620,55,6000,25000
8/4/2025,Instagram,Festive Offer,14000,410,30,5000,20000
8/5/2025,Facebook,Lead Generation,16000,520,48,5500,23000
8/6/2025,Instagram,Brand Awareness,15500,340,25,4200,13500
8/7/2025,Facebook,Summer Sale,17000,560,50,5800,24000
8/8/2025,Instagram,Product Launch,19000,700,65,6500,28000
8/9/2025,Facebook,Festive Offer,14500,430,32,5100,20500
8/10/2025,Instagram,Lead Generation,16500,540,45,5600,22500
8/11/2025,Facebook,Brand Awareness,15800,360,28,4300,14000
8/12/2025,Instagram,Summer Sale,17500,590,52,5900,24500
8/13/2025,Facebook,Product Launch,20000,750,70,7000,30000
8/14/2025,Instagram,Festive Offer,15000,450,35,5200,21000
8/15/2025,Facebook,Lead Generation,16800,560,49,5700,23500
